,codigo,ano,situacao,qtd_feminino,qtd_masculino
453,LABORATORIO DE FISICA 1,2020,TRANCADO,0.1428571429,0.1666666667
454,LABORATORIO DE FISICA 1,2021,APROVADO,0.09523809524,0.08333333333
455,LABORATORIO DE FISICA 1,2021,REPROVADO,0.3333333333,0.5
456,LABORATORIO DE FISICA 1,2021,TRANCADO,0.1428571429,0.125
457,LABORATORIO DE FISICA 1,2022,APROVADO,0.3333333333,0.1666666667
459,LABORATORIO DE FISICA 1,2022,REPROVADO,0.1428571429,0.5
460,LABORATORIO DE FISICA 1,2022,TRANCADO,0.09523809524,0.125
530,PERSPECTIVAS EM ASTROFISICA,2018,APROVADO,0.5714285714,0.4166666667
531,PERSPECTIVAS EM ASTROFISICA,2018,DESISTENCIA,0.04761904762,0.08333333333
532,PERSPECTIVAS EM ASTROFISICA,2018,REPROVADO,0.3333333333,0.5416666667
533,PERSPECTIVAS EM ASTROFISICA,2018,TRANCADO,0.09523809524,0.2083333333
534,PERSPECTIVAS EM ASTROFISICA,2019,APROVADO,0.7142857143,0.5833333333
535,PERSPECTIVAS EM ASTROFISICA,2019,REP. MEDIA/FALTAS,0.2857142857,0.375
536,PERSPECTIVAS EM ASTROFISICA,2019,TRANCADO,0.04761904762,0.2083333333
537,PERSPECTIVAS EM ASTROFISICA,2020,APROVADO,0.619047619,0.5
539,PERSPECTIVAS EM ASTROFISICA,2020,REPROVADO,0.1428571429,0.4583333333
540,PERSPECTIVAS EM ASTROFISICA,2020,TRANCADO,0.09523809524,0.04166666667
541,PERSPECTIVAS EM ASTROFISICA,2021,APROVADO,0.6666666667,0.2916666667
542,PERSPECTIVAS EM ASTROFISICA,2021,REPROVADO,0.2857142857,0.5
543,PERSPECTIVAS EM ASTROFISICA,2021,TRANCADO,0.2380952381,0.125
544,PERSPECTIVAS EM ASTROFISICA,2022,APROVADO,0.5238095238,0.375
545,PERSPECTIVAS EM ASTROFISICA,2022,REPROVADO,0.09523809524,0.08333333333
546,PERSPECTIVAS EM ASTROFISICA,2022,TRANCADO,0.2380952381,0
547,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,APROVADO,0.3333333333,0.4583333333
548,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,DESISTENCIA,0,0.08333333333
549,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,REP. MEDIA/FALTAS,0.1904761905,0.5
550,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,REPROVADO,0.2857142857,0.5416666667
551,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2018,TRANCADO,0.09523809524,0.4583333333
552,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2019,APROVADO,0.1428571429,0.3333333333
553,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2019,REP. MEDIA/FALTAS,0.4761904762,0.5416666667
554,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2019,REPROVADO,0.1904761905,0.1666666667
556,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2020,APROVADO,0.2380952381,0.375
557,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2020,REPROVADO,0.2857142857,0.3333333333
558,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2020,TRANCADO,0.09523809524,0
559,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2021,APROVADO,0.4761904762,0.125
560,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2021,DESISTENCIA,0.09523809524,0
561,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2021,REPROVADO,0.3333333333,0.4166666667
562,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2021,TRANCADO,0.1428571429,0.08333333333
563,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2022,APROVADO,0.7619047619,0.375
565,INTRODUCAO A ASTRONOMIA E ASTROFISICA,2022,REP. MEDIA/FALTAS,0.09523809524,0.3333333333
569,SISTEMAS PLANETARIOS,2017,REP. MEDIA/FALTAS,0.09523809524,0.04166666667
571,SISTEMAS PLANETARIOS,2018,APROVADO,0.09523809524,0.125
572,SISTEMAS PLANETARIOS,2019,APROVADO,0.3333333333,0.1666666667
573,SISTEMAS PLANETARIOS,2019,REP. MEDIA/FALTAS,0,0.08333333333
575,SISTEMAS PLANETARIOS,2020,APROVADO,0.2857142857,0.375
577,SISTEMAS PLANETARIOS,2021,APROVADO,0.1428571429,0.1666666667
579,SISTEMAS PLANETARIOS,2022,APROVADO,0.4761904762,0.2083333333
581,METODOS EM ASTROFISICA OBSERVACIONAL,2018,APROVADO,0.1428571429,0.125
583,METODOS EM ASTROFISICA OBSERVACIONAL,2018,REPROVADO,0.09523809524,0.04166666667
584,METODOS EM ASTROFISICA OBSERVACIONAL,2019,APROVADO,0.380952381,0.1666666667
585,METODOS EM ASTROFISICA OBSERVACIONAL,2019,REP. MEDIA/FALTAS,0,0.125
586,METODOS EM ASTROFISICA OBSERVACIONAL,2019,REPROVADO,0.09523809524,0.08333333333
587,METODOS EM ASTROFISICA OBSERVACIONAL,2020,APROVADO,0.2857142857,0.2083333333
588,METODOS EM ASTROFISICA OBSERVACIONAL,2020,REPROVADO,0,0.1666666667
590,METODOS EM ASTROFISICA OBSERVACIONAL,2021,APROVADO,0.1428571429,0.1666666667
592,METODOS EM ASTROFISICA OBSERVACIONAL,2021,REPROVADO,0,0.125
593,METODOS EM ASTROFISICA OBSERVACIONAL,2021,TRANCADO,0,0.08333333333
594,METODOS EM ASTROFISICA OBSERVACIONAL,2022,APROVADO,0.1904761905,0
595,METODOS EM ASTROFISICA OBSERVACIONAL,2022,REP. MEDIA/FALTAS,0.04761904762,0.25
596,METODOS EM ASTROFISICA OBSERVACIONAL,2022,REPROVADO,0.2380952381,0.08333333333
598,ASTROFISICA ESTELAR,2019,APROVADO,0.2380952381,0.08333333333
600,ASTROFISICA ESTELAR,2020,APROVADO,0.1904761905,0.3333333333
601,ASTROFISICA ESTELAR,2020,REPROVADO,0.04761904762,0.125
603,ASTROFISICA ESTELAR,2021,APROVADO,0.09523809524,0.04166666667
605,ASTROFISICA ESTELAR,2022,APROVADO,0.2380952381,0.2916666667
606,LABORATORIO DE ASTRONOMIA E ASTROFISICA,2017,APROVADO,0.09523809524,0
607,LABORATORIO DE ASTRONOMIA E ASTROFISICA,2017,REP. MEDIA/FALTAS,0,0.08333333333
611,LABORATORIO DE ASTRONOMIA E ASTROFISICA,2020,APROVADO,0.2380952381,0.1666666667
612,LABORATORIO DE ASTRONOMIA E ASTROFISICA,2021,APROVADO,0.2380952381,0.2083333333
615,LABORATORIO DE ASTRONOMIA E ASTROFISICA,2022,APROVADO,0.1428571429,0.08333333333
618,LABORATORIO DE ASTRONOMIA E ASTROFISICA,2023,DESISTENCIA,0,0.08333333333
620,ASTROFISICA GALACTICA,2020,APROVADO,0.1904761905,0.08333333333
